question,entity,time,answer
Which position did Donald Stewart hold right after February 1974?,Donald Stewart,1974-02,Member of the 46th Parliament of the United Kingdom
Which position did Donald Stewart hold right after September 1974?,Donald Stewart,1974-09,Member of the 47th Parliament of the United Kingdom
Which position did Donald Stewart hold right after April 1979?,Donald Stewart,1979-04,Member of the 48th Parliament of the United Kingdom
Which position did Donald Stewart hold right after May 1983?,Donald Stewart,1983-05,Member of the 49th Parliament of the United Kingdom
Who was the head coach of the team CSM Reșița right after October 2020?,CSM Reșița,2020-10,Alin Minteuan
Who was the head coach of the team CSM Reșița right after May 2021?,CSM Reșița,2021-05,Dan Alexa
Which employer did Lyman Spitzer work for right after January 1939?,Lyman Spitzer,1939-01,Yale University
Who was the head coach of the team Olympique Lyonnais right after October 2019?,Olympique Lyonnais,2019-10,Rudi Garcia
Who was the head coach of the team Olympique Lyonnais right after May 2021?,Olympique Lyonnais,2021-05,Peter Bosz
Who was the owner of USS Abatan right after September 1962?,USS Abatan,1962-09,United States Navy
"Which position did Sir James Bourne, 1st Baronet hold right after November 1868?","Sir James Bourne, 1st Baronet",1868-11,Member of the 20th Parliament of the United Kingdom
Which position did Abukari Sumani hold right after January 2005?,Abukari Sumani,2005-01,Member of the 4th Parliament of the 4th Republic of Ghana
Which position did Abukari Sumani hold right after January 2009?,Abukari Sumani,2009-01,Member of the 5th Parliament of the 4th Republic of Ghana
Which team did Mauricio Alfaro play for right after January 1982?,Mauricio Alfaro,1982-01,C.D. FAS
Which employer did Arnold Mallis work for right after January 1945?,Arnold Mallis,1945-01,Gulf Oil
Which employer did Kevin Anderson work for right after January 2010?,Kevin Anderson,2010-01,University of Maryland
Who was the chair of Johns Hopkins University right after January 1913?,Johns Hopkins University,1913-01,Frank Johnson Goodnow
Who was the chair of Johns Hopkins University right after December 1948?,Johns Hopkins University,1948-12,Detlev Bronk
Who was the chair of Johns Hopkins University right after August 1953?,Johns Hopkins University,1953-08,Lowell Reed
Who was the chair of Johns Hopkins University right after June 1967?,Johns Hopkins University,1967-06,Lincoln Gordon
Who was the chair of Johns Hopkins University right after March 1971?,Johns Hopkins University,1971-03,Steven Muller
Who was the chair of Johns Hopkins University right after June 1990?,Johns Hopkins University,1990-06,William C. Richardson
Who was the chair of Johns Hopkins University right after June 1995?,Johns Hopkins University,1995-06,Daniel Nathans
Who was the chair of Johns Hopkins University right after August 1996?,Johns Hopkins University,1996-08,William Ralph Brody
Who was the chair of Johns Hopkins University right after March 2008?,Johns Hopkins University,2008-03,Ronald J. Daniels
Which position did Maxime Bernier hold right after August 2007?,Maxime Bernier,2007-08,Minister of Foreign Affairs of Canada
Which position did Maxime Bernier hold right after May 2008?,Maxime Bernier,2008-05,Minister of Small Business and Tourism
Which position did Ilir Meta hold right after February 2002?,Ilir Meta,2002-02,Minister of Foreign Affairs
Which position did Ilir Meta hold right after July 2017?,Ilir Meta,2017-07,President of Albania
Which team did José Eloy Jiménez Moreno play for right after January 1994?,José Eloy Jiménez Moreno,1994-01,Levante UD
Which team did José Eloy Jiménez Moreno play for right after January 1995?,José Eloy Jiménez Moreno,1995-01,Elche CF
Which team did José Eloy Jiménez Moreno play for right after January 2002?,José Eloy Jiménez Moreno,2002-01,Córdoba CF
Which team did José Eloy Jiménez Moreno play for right after January 2003?,José Eloy Jiménez Moreno,2003-01,CD Castellón
Which employer did Wong He work for right after January 1995?,Wong He,1995-01,Television Broadcasts Limited
Which employer did Wong He work for right after September 2011?,Wong He,2011-09,Now TV
Which team did Domenico Maggiora play for right after January 1982?,Domenico Maggiora,1982-01,U.C. Sampdoria
Which team did Domenico Maggiora play for right after January 1983?,Domenico Maggiora,1983-01,Cagliari Calcio
Which team did Domenico Maggiora play for right after January 1984?,Domenico Maggiora,1984-01,Calcio Catania
Who was the head of state of German Democratic Republic right after September 1960?,German Democratic Republic,1960-09,Walter Ulbricht
Who was the head of state of German Democratic Republic right after August 1973?,German Democratic Republic,1973-08,Willi Stoph
Who was the head of state of German Democratic Republic right after April 1990?,German Democratic Republic,1990-04,Sabine Bergmann-Pohl
Which employer did Maximilian Herzberger work for right after January 1927?,Maximilian Herzberger,1927-01,Carl Zeiss AG
Which employer did Maximilian Herzberger work for right after January 1965?,Maximilian Herzberger,1965-01,ETH Zürich
Which employer did Maximilian Herzberger work for right after January 1968?,Maximilian Herzberger,1968-01,University of New Orleans
Which position did Bonar Law hold right after January 1906?,Bonar Law,1906-01,Member of the 28th Parliament of the United Kingdom
Which position did Bonar Law hold right after November 1910?,Bonar Law,1910-11,Leader of the Conservative Party
Which employer did James Rodger Fleming work for right after January 1985?,James Rodger Fleming,1985-01,American Meteorological Society
Which employer did James Rodger Fleming work for right after January 1988?,James Rodger Fleming,1988-01,Colby College
Which position did Jackie Baillie hold right after November 2001?,Jackie Baillie,2001-11,Member of the 2nd Scottish Parliament
Which position did Jackie Baillie hold right after April 2007?,Jackie Baillie,2007-04,Member of the 3rd Scottish Parliament
Which position did Jackie Baillie hold right after December 2014?,Jackie Baillie,2014-12,Member of the 5th Scottish Parliament
Which position did Jackie Baillie hold right after May 2021?,Jackie Baillie,2021-05,Member of the 6th Scottish Parliament
Which team did Brayan Perea play for right after January 2013?,Brayan Perea,2013-01,Colombia U20 soccer team
Which team did Brayan Perea play for right after January 2014?,Brayan Perea,2014-01,A.C. Perugia Calcio
Which team did Brayan Perea play for right after January 2015?,Brayan Perea,2015-01,ES Troyes AC
Who was the head coach of the team Club Brugge K.V. right after January 2022?,Club Brugge K.V.,2022-01,Alfred Schreuder
Which position did Vito Lattanzio hold right after March 1978?,Vito Lattanzio,1978-03,member of the Chamber of Deputies of the Italian Republic
Who was the chair of Liga Veneta Repubblica right after January 1999?,Liga Veneta Repubblica,1999-01,Donato Manfroi
Who was the chair of Liga Veneta Repubblica right after January 2000?,Liga Veneta Repubblica,2000-01,Fabrizio Comencini
Who was the chair of Liga Veneta Repubblica right after January 2004?,Liga Veneta Repubblica,2004-01,Alessio Morosin
Who was the chair of Liga Veneta Repubblica right after January 2007?,Liga Veneta Repubblica,2007-01,Gian Pietro Piotto
Which position did Jan Kappeyne van de Coppello hold right after September 1865?,Jan Kappeyne van de Coppello,1865-09,member of the House of Representatives of the Netherlands
Which employer did Mitchell Feigenbaum work for right after January 1974?,Mitchell Feigenbaum,1974-01,The Rockefeller University
Where was Caroline Aigle educated right after January 1992?,Caroline Aigle,1992-01,Prytanée National Militaire
Where was Caroline Aigle educated right after January 1997?,Caroline Aigle,1997-01,School of the Air
Who was the head of People's Republic of China right after January 1976?,People's Republic of China,1976-01,Hua Guofeng
Who was the head of People's Republic of China right after March 1998?,People's Republic of China,1998-03,Zhu Rongji
Who was the head of People's Republic of China right after March 2003?,People's Republic of China,2003-03,Wen Jiabao
Who was the head of People's Republic of China right after March 2013?,People's Republic of China,2013-03,Li Keqiang
Who was the head of Stevns Municipality right after December 2013?,Stevns Municipality,2013-12,Mogens Haugaard Nielsen
Who was the head of Stevns Municipality right after December 2017?,Stevns Municipality,2017-12,Anette Mortensen
Which position did Stavros Kostopoulos hold right after November 1948?,Stavros Kostopoulos,1948-11,Minister of Coordination of Greece
Which position did Stavros Kostopoulos hold right after April 1950?,Stavros Kostopoulos,1950-04,Minister of Commercial Marine of Greece
Which position did Stavros Kostopoulos hold right after September 1950?,Stavros Kostopoulos,1950-09,Minister of Economy of Greece
Which position did Stavros Kostopoulos hold right after March 1951?,Stavros Kostopoulos,1951-03,Greek Minister of the Interior
Which position did Stavros Kostopoulos hold right after December 1963?,Stavros Kostopoulos,1963-12,Minister for Foreign Affairs of Greece
Where was Stefan Bergman educated right after January 1920?,Stefan Bergman,1920-01,Frederick William University
Which employer did Michael Purugganan work for right after January 1995?,Michael Purugganan,1995-01,North Carolina State University
Which employer did Michael Purugganan work for right after January 2006?,Michael Purugganan,2006-01,New York University
Which team did Aimé Lavie play for right after January 2006?,Aimé Lavie,2006-01,AS Cannes
Who was the chair of Fédération Internationale de l'Automobile right after January 1931?,Fédération Internationale de l'Automobile,1931-01,Robert de Vogüé
Who was the chair of Fédération Internationale de l'Automobile right after January 1936?,Fédération Internationale de l'Automobile,1936-01,Jehan de Rohan-Chabot
Who was the chair of Fédération Internationale de l'Automobile right after January 1975?,Fédération Internationale de l'Automobile,1975-01,Paul de Metternich-Winneburg
Who was the chair of Fédération Internationale de l'Automobile right after December 2021?,Fédération Internationale de l'Automobile,2021-12,Mohammed bin Sulayem
Who was the chair of Synaspismós right after January 1993?,Synaspismós,1993-01,Nikos Konstantopoulos
Who was the chair of Synaspismós right after January 2004?,Synaspismós,2004-01,Alekos Alavanos
Who was the chair of American Alliance of Museums right after January 1907?,American Alliance of Museums,1907-01,William Jacob Holland
Who was the head of Dortmund right after September 1999?,Dortmund,1999-09,Gerhard Langemeyer
Who was the head of Dortmund right after October 2009?,Dortmund,2009-10,Ullrich Sierau
Who was the head of Dortmund right after October 2020?,Dortmund,2020-10,Thomas Westphal
Which employer did Lee Anna Clark work for right after January 1993?,Lee Anna Clark,1993-01,University of Iowa
Which position did Mike Hedges hold right after April 2016?,Mike Hedges,2016-04,Member of the 5th National Assembly for Wales
Which position did George Higginson Allsopp hold right after June 1886?,George Higginson Allsopp,1886-06,Member of the 24th Parliament of the United Kingdom
Which position did George Higginson Allsopp hold right after July 1895?,George Higginson Allsopp,1895-07,Member of the 26th Parliament of the United Kingdom
Which position did George Higginson Allsopp hold right after September 1900?,George Higginson Allsopp,1900-09,Member of the 27th Parliament of the United Kingdom
Which employer did Rebecca Hankins work for right after June 2003?,Rebecca Hankins,2003-06,Texas A&M University
Which employer did Manuel García Velarde work for right after January 1969?,Manuel García Velarde,1969-01,University of Texas at Austin
